epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,2476.12,1.23808,0.59447,0.86227,0.97756,0.94314,0.97109,0.54468,1.55579,0.66787,0.87777,0.000208,0.000208,0.000208
162,2491.67,1.22445,0.58385,0.86198,0.97751,0.94774,0.97374,0.53936,1.56764,0.67333,0.88064,0.00020305,0.00020305,0.00020305
163,2507.14,1.22207,0.59547,0.85844,0.98031,0.93333,0.97479,0.54862,1.54954,0.66084,0.87984,0.0001981,0.0001981,0.0001981
164,2522.84,1.23453,0.59961,0.85932,0.9757,0.93356,0.97036,0.53928,1.5771,0.67332,0.88029,0.00019315,0.00019315,0.00019315
165,2538.43,1.23479,0.59729,0.86208,0.93818,0.94741,0.96878,0.5452,1.54978,0.68518,0.87669,0.0001882,0.0001882,0.0001882
166,2553.76,1.23739,0.57837,0.86432,0.97874,0.93454,0.97547,0.54046,1.54995,0.66707,0.87846,0.00018325,0.00018325,0.00018325
167,2569.13,1.216,0.58173,0.85996,0.97278,0.94114,0.97476,0.54109,1.56782,0.65419,0.88111,0.0001783,0.0001783,0.0001783
168,2584.52,1.2243,0.58505,0.85686,0.96865,0.94464,0.97473,0.54954,1.55217,0.64324,0.8782,0.00017335,0.00017335,0.00017335
169,2599.86,1.22308,0.59449,0.86087,0.96794,0.95966,0.97843,0.54393,1.55264,0.64801,0.87734,0.0001684,0.0001684,0.0001684
170,2615.19,1.21978,0.59727,0.85398,0.97135,0.96613,0.97556,0.54664,1.54469,0.64265,0.87688,0.00016345,0.00016345,0.00016345
171,2630.62,1.20182,0.57724,0.85507,0.97118,0.96127,0.97479,0.55468,1.53303,0.63938,0.87523,0.0001585,0.0001585,0.0001585
172,2646.09,1.20049,0.58059,0.85887,0.97212,0.94985,0.97656,0.54791,1.54899,0.65369,0.87934,0.00015355,0.00015355,0.00015355
173,2661.65,1.17679,0.56966,0.85786,0.9637,0.95814,0.9765,0.55428,1.5418,0.643,0.87701,0.0001486,0.0001486,0.0001486
174,2676.91,1.18346,0.57634,0.86062,0.95739,0.95494,0.97335,0.54887,1.54496,0.6449,0.87769,0.00014365,0.00014365,0.00014365
175,2692.41,1.1921,0.57397,0.85372,0.9688,0.95212,0.97377,0.54352,1.53144,0.64678,0.87732,0.0001387,0.0001387,0.0001387
176,2707.86,1.16833,0.57377,0.84802,0.96667,0.96029,0.97466,0.54561,1.52968,0.63523,0.87641,0.00013375,0.00013375,0.00013375
177,2723.41,1.19331,0.57037,0.85641,0.9719,0.95776,0.97615,0.5443,1.55292,0.63122,0.87852,0.0001288,0.0001288,0.0001288
178,2738.82,1.16621,0.55752,0.85469,0.97467,0.96399,0.9787,0.53862,1.57602,0.64327,0.88034,0.00012385,0.00012385,0.00012385
179,2754.38,1.18923,0.57277,0.85478,0.96261,0.96038,0.97362,0.5435,1.55632,0.64013,0.87787,0.0001189,0.0001189,0.0001189
180,2769.69,1.16441,0.55452,0.86273,0.96399,0.96647,0.9769,0.55302,1.543,0.63354,0.87728,0.00011395,0.00011395,0.00011395
181,2785.03,1.17225,0.57111,0.84817,0.96937,0.96678,0.9775,0.55058,1.53632,0.63052,0.87831,0.000109,0.000109,0.000109
