epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1576.22,1.39188,0.70316,0.88682,0.96387,0.93857,0.97034,0.52431,1.62111,0.70956,0.88575,0.0004951,0.0004951,0.0004951
104,1591.38,1.34503,0.67923,0.88579,0.96917,0.94399,0.97063,0.52553,1.57941,0.7053,0.88335,0.00049015,0.00049015,0.00049015
105,1607.04,1.3941,0.71117,0.88735,0.96631,0.93208,0.96499,0.51534,1.6009,0.71887,0.88555,0.0004852,0.0004852,0.0004852
106,1622.37,1.40445,0.70637,0.89917,0.94989,0.94582,0.96571,0.51535,1.61816,0.71955,0.89051,0.00048025,0.00048025,0.00048025
107,1637.62,1.38403,0.69751,0.90087,0.95838,0.94249,0.97348,0.51522,1.61185,0.7282,0.88873,0.0004753,0.0004753,0.0004753
108,1653.04,1.37774,0.69805,0.88601,0.95727,0.94631,0.97044,0.52774,1.62133,0.72034,0.8887,0.00047035,0.00047035,0.00047035
109,1668.49,1.38936,0.68908,0.89122,0.94955,0.95724,0.97077,0.53221,1.58639,0.70504,0.88492,0.0004654,0.0004654,0.0004654
110,1683.89,1.36609,0.68589,0.88552,0.97168,0.93053,0.96815,0.51251,1.61918,0.70186,0.88378,0.00046045,0.00046045,0.00046045
111,1699.18,1.36059,0.69142,0.87618,0.94883,0.94603,0.96824,0.51938,1.5824,0.68905,0.88125,0.0004555,0.0004555,0.0004555
112,1714.6,1.35221,0.6762,0.88837,0.9732,0.93587,0.9723,0.5249,1.59329,0.70258,0.88396,0.00045055,0.00045055,0.00045055
113,1729.95,1.36572,0.66853,0.88622,0.96493,0.95181,0.97375,0.52671,1.60659,0.70469,0.88411,0.0004456,0.0004456,0.0004456
114,1745.67,1.37522,0.68571,0.89036,0.974,0.94303,0.96852,0.52045,1.59862,0.7177,0.88366,0.00044065,0.00044065,0.00044065
115,1760.82,1.34151,0.67187,0.88319,0.97157,0.95094,0.97321,0.53762,1.59192,0.69801,0.88394,0.0004357,0.0004357,0.0004357
116,1776.28,1.37222,0.67901,0.88987,0.96292,0.94795,0.96988,0.52726,1.59976,0.70322,0.88762,0.00043075,0.00043075,0.00043075
117,1791.75,1.32477,0.66511,0.8848,0.97209,0.92846,0.9646,0.52366,1.58452,0.69598,0.88486,0.0004258,0.0004258,0.0004258
118,1807.12,1.35636,0.66657,0.88269,0.96241,0.94389,0.96851,0.52282,1.5908,0.70004,0.8842,0.00042085,0.00042085,0.00042085
119,1822.51,1.33376,0.64699,0.89051,0.96163,0.94448,0.97459,0.52707,1.61363,0.69833,0.8884,0.0004159,0.0004159,0.0004159
120,1837.89,1.35179,0.68363,0.88014,0.96219,0.95822,0.97675,0.51745,1.61894,0.67958,0.88912,0.00041095,0.00041095,0.00041095
121,1853.26,1.35039,0.67088,0.87652,0.96659,0.93354,0.96925,0.52554,1.55393,0.69213,0.87736,0.000406,0.000406,0.000406
122,1868.7,1.32218,0.64719,0.87176,0.9716,0.92575,0.966,0.51428,1.60307,0.69364,0.88468,0.00040105,0.00040105,0.00040105
123,1884.3,1.32533,0.65364,0.87634,0.9601,0.95175,0.9701,0.52482,1.5969,0.68332,0.88557,0.0003961,0.0003961,0.0003961
124,1899.82,1.32043,0.64933,0.88949,0.97201,0.94422,0.97612,0.52795,1.59653,0.67358,0.88247,0.00039115,0.00039115,0.00039115
125,1915.06,1.3357,0.66718,0.8859,0.96456,0.92978,0.97608,0.51775,1.66271,0.68713,0.89,0.0003862,0.0003862,0.0003862
126,1930.56,1.32579,0.66383,0.87715,0.95337,0.95044,0.97102,0.52733,1.57731,0.68758,0.8822,0.00038125,0.00038125,0.00038125
127,1946.12,1.32985,0.66151,0.87486,0.95112,0.94573,0.97226,0.52833,1.59733,0.68696,0.88188,0.0003763,0.0003763,0.0003763
128,1961.63,1.32032,0.64522,0.89038,0.96645,0.93331,0.96177,0.52195,1.59004,0.71357,0.88416,0.00037135,0.00037135,0.00037135
129,1977.26,1.30186,0.63777,0.87407,0.97806,0.93185,0.96909,0.5279,1.61088,0.68051,0.88574,0.0003664,0.0003664,0.0003664
130,1992.68,1.31826,0.65931,0.87255,0.97084,0.94709,0.97185,0.53022,1.58665,0.68199,0.88185,0.00036145,0.00036145,0.00036145
131,2007.96,1.28459,0.62599,0.875,0.9582,0.93877,0.9611,0.51879,1.58149,0.69588,0.88319,0.0003565,0.0003565,0.0003565
132,2023.4,1.28807,0.63239,0.87719,0.96196,0.94297,0.96748,0.52961,1.58563,0.68904,0.88198,0.00035155,0.00035155,0.00035155
133,2038.93,1.3029,0.6358,0.88634,0.95195,0.95468,0.96341,0.53619,1.57947,0.67883,0.88254,0.0003466,0.0003466,0.0003466
134,2054.22,1.31204,0.63815,0.87053,0.9642,0.94287,0.96537,0.52797,1.60027,0.68356,0.88374,0.00034165,0.00034165,0.00034165
135,2069.86,1.26796,0.62537,0.86942,0.96227,0.9454,0.96886,0.53817,1.56779,0.68559,0.88138,0.0003367,0.0003367,0.0003367
136,2085.31,1.27476,0.62623,0.86793,0.96242,0.94026,0.96813,0.53062,1.5831,0.68461,0.88103,0.00033175,0.00033175,0.00033175
137,2100.73,1.28621,0.63354,0.86694,0.96883,0.94923,0.9731,0.5324,1.58388,0.67763,0.88293,0.0003268,0.0003268,0.0003268
138,2115.99,1.26724,0.61698,0.86815,0.97107,0.94908,0.97753,0.53623,1.58434,0.67522,0.88372,0.00032185,0.00032185,0.00032185
139,2131.52,1.27744,0.61721,0.87299,0.96758,0.93995,0.97108,0.53795,1.55607,0.68269,0.87903,0.0003169,0.0003169,0.0003169
140,2147,1.28894,0.63289,0.86764,0.97008,0.93932,0.97406,0.53028,1.58472,0.67173,0.88173,0.00031195,0.00031195,0.00031195
141,2162.33,1.27669,0.60802,0.86451,0.96102,0.95878,0.97477,0.53439,1.5866,0.66314,0.88349,0.000307,0.000307,0.000307
142,2177.88,1.31625,0.64932,0.87141,0.97091,0.95412,0.97092,0.52847,1.56368,0.6619,0.8799,0.00030205,0.00030205,0.00030205
143,2193.36,1.26871,0.61893,0.87257,0.97432,0.95599,0.98312,0.55332,1.5214,0.64265,0.87392,0.0002971,0.0002971,0.0002971
144,2208.85,1.26228,0.6217,0.8725,0.96455,0.94988,0.97363,0.53495,1.56373,0.66092,0.88045,0.00029215,0.00029215,0.00029215
145,2224.47,1.29977,0.6354,0.86559,0.95844,0.95129,0.974,0.53543,1.55681,0.68259,0.87732,0.0002872,0.0002872,0.0002872
146,2239.92,1.25536,0.61587,0.8608,0.95859,0.96187,0.97751,0.54065,1.5468,0.66225,0.87905,0.00028225,0.00028225,0.00028225
147,2255.27,1.24438,0.60935,0.8608,0.9694,0.94872,0.97883,0.5375,1.57375,0.66847,0.88162,0.0002773,0.0002773,0.0002773
148,2270.7,1.26988,0.61969,0.86738,0.96638,0.94951,0.97444,0.53576,1.5913,0.66723,0.88402,0.00027235,0.00027235,0.00027235
149,2286.37,1.24921,0.60644,0.86967,0.96248,0.94224,0.96839,0.54,1.55888,0.6659,0.87685,0.0002674,0.0002674,0.0002674
150,2301.73,1.2621,0.60803,0.86147,0.96981,0.94567,0.97045,0.54522,1.55182,0.65799,0.87834,0.00026245,0.00026245,0.00026245
151,2317.32,1.24373,0.60314,0.85813,0.9595,0.9384,0.96497,0.53043,1.57101,0.66367,0.88182,0.0002575,0.0002575,0.0002575
152,2332.66,1.24464,0.60871,0.85832,0.96793,0.93276,0.97045,0.53716,1.55256,0.66004,0.88102,0.00025255,0.00025255,0.00025255
153,2348.28,1.239,0.60747,0.86481,0.95411,0.95045,0.96972,0.53937,1.56434,0.65617,0.8801,0.0002476,0.0002476,0.0002476
154,2363.55,1.24875,0.59818,0.86558,0.9627,0.96163,0.97484,0.54486,1.55947,0.64676,0.88099,0.00024265,0.00024265,0.00024265
155,2379.06,1.25347,0.60767,0.86374,0.95889,0.95659,0.97488,0.54413,1.56113,0.63962,0.88017,0.0002377,0.0002377,0.0002377
156,2394.29,1.22018,0.5985,0.85698,0.96169,0.95864,0.97778,0.54195,1.55065,0.64107,0.87909,0.00023275,0.00023275,0.00023275
157,2409.75,1.23982,0.59802,0.86146,0.95463,0.95476,0.96786,0.52905,1.59893,0.65526,0.88285,0.0002278,0.0002278,0.0002278
158,2425.32,1.24053,0.60776,0.86333,0.96863,0.94842,0.97267,0.54243,1.56889,0.64084,0.88212,0.00022285,0.00022285,0.00022285
159,2440.84,1.23855,0.59166,0.86481,0.96423,0.95236,0.97559,0.54882,1.54575,0.64131,0.87928,0.0002179,0.0002179,0.0002179
160,2456.39,1.19962,0.58793,0.85477,0.9659,0.95216,0.97418,0.54629,1.53633,0.63986,0.87765,0.00021295,0.00021295,0.00021295
161,2472,1.22545,0.59992,0.85984,0.96247,0.95144,0.97001,0.54413,1.55463,0.65683,0.87947,0.000208,0.000208,0.000208
162,2487.33,1.20108,0.58156,0.86149,0.97555,0.94552,0.97159,0.53488,1.55558,0.65612,0.87835,0.00020305,0.00020305,0.00020305
163,2502.66,1.19788,0.58451,0.85693,0.9702,0.94858,0.97048,0.55148,1.53499,0.64343,0.87653,0.0001981,0.0001981,0.0001981
164,2518.24,1.21317,0.58848,0.85632,0.96457,0.94742,0.96743,0.54102,1.54399,0.64937,0.8768,0.00019315,0.00019315,0.00019315
